0385339607,The Rainmaker,John Grisham,1995
1250012570,Eleanor & Park,Rainbow Rowell,2013
0786838655,The Lightning Thief,Rick Riordan,2005
0440225450,The Final Detail,Harlan Coben,1999
0743484355,A Cry in the Night,Mary Higgins Clark,1982
0670016780,Half Bad,Sally Green,2014
0140621733,Lady Windermere's Fan,Oscar Wilde,1893
0061662763,The Awakening,Kelley Armstrong,2009
006117758X,Ham on Rye,Charles Bukowski,1982
1423102266,The Van Alen Legacy ,Melissa de la Cruz,2009
067056172X,A Pocket for Corduroy,Don Freeman,1978
0385339097,The Street Lawyer,John Grisham,1998
0413757102,Revolutionary Road,Richard Yates,1961
0441569595,Neuromancer,William Gibson,1984
0684833395,Catch-22,Joseph Heller,1961
1416950737,sTORI Telling,Tori Spelling,2008
0140501827,The Snowy Day,Ezra Jack Keats,1962
0099285444,Invisible Monsters,Chuck Palahniuk,1999
0552555703,Noughts & Crosses,Malorie Blackman,2001
0671047345,Separation of Power,Vince Flynn,2001
0812995201,The Weight of Blood,Laura McHugh,2014
0812995341,Lincoln in the Bardo,George Saunders,2017
0553589377,Kiss of Midnight,Lara Adrian,2007
1476798176,Did You Ever Have a Family,Bill Clegg,2015
0006640613,The Tiger Who Came to Tea,Judith Kerr,1968
0395870828,Tuesday,David Wiesner,1991
1585678759,My Man Jeeves,P.G. Wodehouse,1919
0425241130,Hit List,Laurell K. Hamilton,2011
0743417321,Cabal,Clive Barker,1988
1598184318,The Sea Wolf,Jack London,1904
0312571259,One Good Dog,Susan  Wilson,2010
0345424646,A Knight of the Word ,Terry Brooks,1998
0393062627,The Lonely Polygamist,Brady Udall,2010
0312624670,Born at Midnight,C.C. Hunter,2011
0451235843,Lover Reborn,J.R. Ward,2012
